iter	Passed	Remaining
474	661	730
475	661	728
476	662	726
477	663	725
478	664	723
479	665	721
480	666	719
481	667	717
482	668	715
483	669	713
484	670	712
485	671	710
486	672	708
487	673	706
488	674	704
489	675	702
490	676	701
491	677	699
492	678	697
493	679	696
494	680	694
495	681	692
496	682	690
497	683	688
498	684	686
499	685	685
500	686	683
501	686	681
502	687	679
503	688	677
504	689	676
505	690	674
506	692	673
507	693	672
508	695	670
509	695	668
510	696	666
511	697	665
512	698	663
513	700	661
514	701	660
515	702	658
516	702	656
517	703	654
518	704	653
519	705	651
520	706	649
521	707	647
522	708	646
523	709	644
524	710	642
525	711	640
526	712	639
527	713	637
528	714	635
529	715	634
530	716	632
531	717	631
532	718	629
533	719	627
534	720	626
535	721	624
536	722	622
537	723	621
538	724	619
539	725	617
540	726	616
541	727	614
542	728	612
543	729	611
544	730	609
545	731	607
546	732	606
547	733	604
548	734	603
549	735	601
550	736	600
551	737	598
552	738	597
553	739	595
554	740	594
555	741	592
556	742	590
557	743	589
558	744	587
559	745	585
560	746	584
561	747	582
562	748	581
563	749	579
564	750	578
565	751	576
566	752	574
567	753	573
568	754	571
569	755	570
570	756	568
571	757	566
572	758	565
573	759	563
574	760	562
575	761	560
576	762	559
577	763	557
578	764	555
579	765	554
580	766	552
581	767	551
582	768	549
583	769	548
584	770	546
585	771	544
586	772	543
587	773	541
588	774	540
589	775	538
590	776	537
591	777	535
592	778	534
593	779	532
594	780	530
595	780	529
596	782	527
597	783	526
598	783	524
599	784	523
600	785	521
601	786	520
602	787	518
603	788	516
604	789	515
605	790	513
606	791	512
607	792	510
608	793	509
609	794	507
610	795	506
611	796	504
612	797	503
613	798	501
614	799	500
615	799	498
616	800	497
617	801	495
618	802	493
619	803	492
620	804	490
621	805	489
622	806	487
623	807	486
624	808	485
625	809	483
626	810	482
627	811	480
628	812	479
629	813	477
630	814	476
631	815	474
632	816	473
633	817	471
634	818	470
635	818	468
636	820	467
637	821	465
638	822	464
639	823	462
640	824	461
641	825	460
642	826	458
643	827	457
644	828	455
645	829	454
646	830	452
647	831	451
648	832	449
649	833	448
650	834	447
651	834	445
652	835	444
653	836	442
654	837	441
655	838	439
656	839	438
657	840	437
658	841	435
659	842	434
660	843	432
661	844	431
662	845	429
663	846	428
664	847	427
665	848	425
666	849	424
667	850	422
668	851	421
669	852	420
670	853	418
671	854	417
672	855	415
673	856	414
674	857	412
675	858	411
676	859	410
677	860	408
678	861	407
679	862	405
680	863	404
681	864	402
682	865	401
683	865	400
684	866	398
685	867	397
686	868	395
687	869	394
688	870	393
689	871	391
690	872	390
691	873	388
692	874	387
693	875	386
694	876	384
695	877	383
696	878	381
697	879	380
698	880	379
699	881	377
700	883	376
701	884	375
702	885	373
703	886	372
704	887	371
705	888	369
706	889	368
707	890	367
708	891	365
709	892	364
710	893	363
711	894	361
712	896	360
713	897	359
714	898	358
715	899	356
716	900	355
717	901	354
718	902	352
719	903	351
720	905	350
721	906	348
722	907	347
723	908	346
724	909	345
725	910	343
726	911	342
727	912	341
728	913	339
729	915	338
730	915	337
731	917	335
732	918	334
733	919	333
734	920	331
735	921	330
736	922	329
737	923	327
738	924	326
739	925	325
740	926	323
741	927	322
742	928	321
743	929	319
744	930	318
745	931	317
746	932	315
747	934	314
748	935	313
749	936	312
750	937	310
751	938	309
752	939	308
753	940	306
754	941	305
755	942	304
756	944	303
757	945	301
758	946	300
759	947	299
760	948	297
761	949	296
762	950	295
763	951	293
764	953	292
765	954	291
766	955	290
767	956	288
768	957	287
769	958	286
770	959	284
771	960	283
772	961	282
773	962	280
774	963	279
775	964	278
776	965	276
777	966	275
778	967	274
779	967	273
780	968	271
781	969	270
782	970	269
783	971	267
784	972	266
785	973	265
786	974	263
787	975	262
788	976	261
789	977	259
790	978	258
791	979	257
792	980	255
793	981	254
794	982	253
795	983	252
796	984	250
797	985	249
798	986	248
799	987	246
800	988	245
801	989	244
802	990	242
803	991	241
804	992	240
805	993	239
806	994	237
807	995	236
808	995	235
809	996	233
810	997	232
811	998	231
812	999	229
813	1000	228
814	1001	227
815	1002	226
816	1003	224
817	1004	223
818	1005	222
819	1006	220
820	1007	219
821	1008	218
822	1009	217
823	1010	215
824	1011	214
825	1013	213
826	1014	212
827	1015	210
828	1016	209
829	1017	208
830	1018	207
831	1019	205
832	1020	204
833	1021	203
834	1022	202
835	1023	200
836	1024	199
837	1025	198
838	1026	197
839	1027	195
840	1028	194
841	1029	193
842	1030	191
843	1031	190
844	1032	189
845	1033	188
846	1034	186
847	1035	185
848	1036	184
849	1037	183
850	1038	181
851	1039	180
852	1040	179
853	1041	178
854	1042	176
855	1043	175
856	1044	174
857	1045	172
858	1046	171
859	1047	170
860	1048	169
861	1049	167
862	1049	166
863	1051	165
864	1052	164
865	1053	162
866	1054	161
867	1055	160
868	1056	159
869	1057	157
870	1058	156
871	1059	155
872	1060	154
873	1060	152
874	1061	151
875	1063	150
876	1064	149
877	1064	147
878	1065	146
879	1066	145
880	1067	144
881	1068	142
882	1069	141
883	1070	140
884	1071	139
885	1072	137
886	1073	136
887	1074	135
888	1075	134
889	1076	133
890	1077	131
891	1077	130
892	1078	129
893	1079	128
894	1080	126
895	1081	125
896	1082	124
897	1083	123
898	1084	121
899	1085	120
900	1086	119
901	1087	118
902	1088	116
903	1089	115
904	1090	114
905	1091	113
906	1092	112
907	1094	110
908	1095	109
909	1096	108
910	1097	107
911	1098	105
912	1099	104
913	1100	103
914	1101	102
915	1102	101
916	1103	99
917	1104	98
918	1105	97
